subdivisionCode,latLng,boundingBox,geojson,perimeter,neighbours
MA-SET,"32.7749,-7.4977","[32.3193, 33.2317, -8.0794, -6.8532]",,508.2,"MA-04,MA-05,MA-06,MA-07,MA-08,MA-AZI,MA-BES,MA-BRR,MA-FQH,MA-JDI,MA-KES,MA-KHE,MA-KHO,MA-REH,MA-SIB"
MA-SIB,"32.6003,-8.5297","[32.2987, 32.8861, -9.0592, -8.0426]",,340.2,"MA-06,MA-07,MA-JDI,MA-REH,MA-SAF,MA-SET,MA-YUS"
MA-SIF,"29.328,-9.759","[29.0286, 29.6305, -10.4201, -9.1578]",,443.26,"MA-09,MA-10,MA-GUE,MA-TAT,MA-TIZ"
MA-SIK,"34.4798,-5.5774","[34.1071, 34.8526, -6.3225, -5.3139]",,534.83,"MA-01,MA-03,MA-04,MA-CHE,MA-KEN,MA-KHE,MA-MEK,MA-MOU,MA-OUZ,MA-SIL,MA-TAO"
MA-SIL,"34.2868,-6.0539","[34.0843, 34.4889, -6.3241, -5.6957]",,269.04,"MA-03,MA-04,MA-KEN,MA-KHE,MA-MEK,MA-SIK"
MA-SKH,"33.7563,-6.8799","[33.5457, 33.9671, -7.1225, -6.7172]",,190.48,"MA-04,MA-06,MA-BES,MA-KHE,MA-RAB,MA-SAL"
MA-TAF,"27.537,-12.5761","[26.8617, 28.2111, -13.2454, -11.4854]",,542.29,"MA-10,MA-ESM,MA-LAA,MA-TNT"
MA-TAI,"34.0593,-2.7756","[33.3729, 34.746, -3.2877, -2.2678]",,538,"MA-02,MA-03,MA-BER,MA-BOM,MA-DRI,MA-FIG,MA-GUF,MA-JRA,MA-NAD,MA-OUJ"
MA-TAO,"34.4395,-4.9209","[34.0392, 34.8398, -5.5323, -4.0969]",,601.05,"MA-01,MA-02,MA-03,MA-04,MA-CHE,MA-FES,MA-GUF,MA-HOC,MA-MEK,MA-MOU,MA-OUZ,MA-SEF,MA-SIK,MA-TAZ"
MA-TAR,"30.4458,-8.4952","[29.7192, 31.1666, -9.3308, -7.5158]",,751.14,"MA-07,MA-08,MA-09,MA-AGD,MA-CHI,MA-CHT,MA-ESI,MA-HAO,MA-INE,MA-OUA,MA-TAT,MA-TIZ"
MA-TAT,"29.3862,-8.0379","[28.3111, 30.4616, -9.2493, -6.3537]",,1059.04,"MA-08,MA-09,MA-10,MA-AGD,MA-ASZ,MA-CHT,MA-GUE,MA-OUA,MA-SIF,MA-TAR,MA-TIZ,MA-ZAG"
MA-TAZ,"34.288,-4.1586","[33.6824, 34.8952, -4.5927, -3.58]",,562.77,"MA-01,MA-02,MA-03,MA-BOM,MA-CHE,MA-DRI,MA-FIG,MA-GUF,MA-HOC,MA-SEF,MA-TAO"
MA-TET,"35.4543,-5.4538","[35.2064, 35.7022, -5.8511, -5.0798]",,271.47,"MA-01,MA-CHE,MA-FAH,MA-LAR,MA-MDF,MA-TNG"
MA-TIN,"31.3173,-5.7494","[30.4639, 32.1708, -6.4472, -4.5308]",,838.42,"MA-05,MA-08,MA-09,MA-AZI,MA-BEM,MA-ERR,MA-FQH,MA-MID,MA-OUA,MA-ZAG"
MA-TIZ,"29.5919,-9.3478","[29.2579, 29.9292, -10.0101, -8.599]",,509.77,"MA-09,MA-10,MA-CHT,MA-GUE,MA-SIF,MA-TAR,MA-TAT"
MA-TNG,"35.5654,-5.8529","[35.3053, 35.826, -6.104, -5.7034]",,223.49,"MA-01,MA-FAH,MA-LAR,MA-TET"
MA-TNT,"28.2105,-11.0873","[27.7384, 28.6826, -11.782, -10.2123]",,433.98,"MA-10,MA-ASZ,MA-ESM,MA-GUE,MA-TAF"
MA-YUS,"32.024,-8.5725","[31.716, 32.3313, -8.9857, -8.2265]",,289.08,"MA-06,MA-07,MA-CHI,MA-ESI,MA-MAR,MA-REH,MA-SAF,MA-SIB"
MA-ZAG,"30.3033,-5.7811","[29.4766, 31.1511, -6.9794, -5.0407]",,720.02,"MA-08,MA-09,MA-ERR,MA-OUA,MA-TAT,MA-TIN"
MC-CL,"43.7403,7.4266","[43.7371, 43.7461, 7.4191, 7.4308]",,3.57,"MC-CO,MC-GA,MC-LA,MC-MA,MC-MC,MC-MG,MC-SD,MC-SO,MC-VR"
MC-CO,"43.7341,7.4218","[43.7312, 43.7377, 7.4159, 7.4321]",,3.5,"MC-CL,MC-FO,MC-GA,MC-JE,MC-MA,MC-MC,MC-MG,MC-MO,MC-SD,MC-SO"
MC-FO,"43.7278,7.4183","[43.7248, 43.7316, 7.412, 7.424]",,2.8,"MC-CO,MC-JE,MC-MO"
MC-GA,"43.7403,7.4266","[43.7371, 43.7461, 7.4191, 7.4308]",,3.57,"MC-CL,MC-CO,MC-LA,MC-MA,MC-MC,MC-MG,MC-SD,MC-SO,MC-VR"
MC-JE,"43.7326,7.4148","[43.7281, 43.7359, 7.409, 7.4175]",,2.65,"MC-CO,MC-FO,MC-MG,MC-MO"
MC-LA,"43.7471,7.4341","[43.7397, 43.7495, 7.4295, 7.4399]",,4.12,"MC-CL,MC-GA,MC-MA,MC-MC,MC-SO,MC-VR"
MC-MA,"43.7403,7.4266","[43.7371, 43.7461, 7.4191, 7.4308]",,3.57,"MC-CL,MC-CO,MC-GA,MC-LA,MC-MC,MC-MG,MC-SD,MC-SO,MC-VR"
MC-MC,"43.7403,7.4266","[43.7371, 43.7461, 7.4191, 7.4308]",,3.57,"MC-CL,MC-CO,MC-GA,MC-LA,MC-MA,MC-MG,MC-SD,MC-SO,MC-VR"
MC-MG,"43.7364,7.4175","[43.7343, 43.7387, 7.4145, 7.4209]",,1.69,"MC-CL,MC-CO,MC-GA,MC-JE,MC-MA,MC-MC,MC-SD,MC-SO"
MC-MO,"43.731,7.4248","[43.7294, 43.733, 7.4175, 7.4283]",,2.31,"MC-CO,MC-FO,MC-JE"
MC-MU,"43.743,7.4263","[-20.2442, -20.2442, 57.4874, 57.4876]",,,
MC-PH,"43.7352,7.4267","[14.6416, 14.6462, 121.0746, 121.08]",,,
MC-SD,"43.7379,7.4201","[43.737, 43.7389, 7.4189, 7.4223]",,0.87,"MC-CL,MC-CO,MC-GA,MC-MA,MC-MC,MC-MG,MC-SO"
MC-SO,"43.7403,7.4266","[43.7371, 43.7461, 7.4191, 7.4308]",,3.57,"MC-CL,MC-CO,MC-GA,MC-LA,MC-MA,MC-MC,MC-MG,MC-SD,MC-VR"
MC-SP,"43.7417,7.42","[-23.5394, -23.5393, -46.6571, -46.657]",,,
MC-SR,"43.7508,7.4358","[17.9687, 17.9688, 102.5929, 102.593]",,,
MC-VR,"43.7481,7.4325","[43.7456, 43.7519, 7.4286, 7.4387]",,2.53,"MC-CL,MC-GA,MC-LA,MC-MA,MC-MC,MC-SO"
MD-AN,"46.9238,29.2503","[46.7078, 47.1392, 28.9499, 29.4901]",,248.86,"MD-BD,MD-CM,MD-CR,MD-CS,MD-CU,MD-DU,MD-IA,MD-SN"
MD-BA,"47.7768,27.9252","[47.7286, 47.8249, 27.7835, 28.0505]",,77.34,"MD-DR,MD-FA,MD-FL,MD-GL,MD-RI,MD-SI"
MD-BD,"46.8207,29.4499","[46.7813, 46.8618, 29.395, 29.5104]",,38.56,"MD-AN,MD-CS,MD-SN"
MD-BR,"48.278,26.9403","[48.1218, 48.4347, 26.6164, 27.2792]",,243.34,"MD-ED,MD-OC"
MD-BS,"46.3985,28.9022","[46.2595, 46.5374, 28.7276, 29.0255]",,116.78,"MD-CM,MD-CS,MD-GA"
MD-CA,"45.8103,28.2924","[45.4672, 46.1538, 28.0853, 28.5639]",,357.22,"MD-CT,MD-GA,MD-TA"
MD-CL,"47.3028,28.3065","[47.159, 47.4465, 28.0468, 28.5645]",,233.55,"MD-NI,MD-OR,MD-SI,MD-SN,MD-ST,MD-TE,MD-UN"
MD-CM,"46.5922,28.8111","[46.4127, 46.7719, 28.5495, 29.0634]",,179.8,"MD-AN,MD-BS,MD-CS,MD-CT,MD-GA,MD-HI,MD-IA,MD-LE,MD-SN"
MD-CR,"47.2083,28.9836","[46.9695, 47.3271, 28.7473, 29.2965]",,277.33,"MD-AN,MD-CU,MD-DU,MD-IA,MD-OR,MD-SN,MD-ST"
MD-CS,"46.605,29.2608","[46.3762, 46.8341, 28.9232, 29.6948]",,298.31,"MD-AN,MD-BD,MD-BS,MD-CM,MD-GA,MD-IA,MD-SN,MD-SV"
MD-CT,"46.2497,28.3464","[46.079, 46.4206, 28.1062, 28.5564]",,209.57,"MD-CA,MD-CM,MD-GA,MD-LE,MD-TA"
MD-CU,"47.0245,28.8323","[46.9203, 47.0796, 28.7451, 28.972]",,106.77,"MD-AN,MD-CR,MD-IA,MD-SN,MD-ST"
MD-DO,"48.2168,27.6025","[48.0469, 48.3865, 27.4869, 27.9542]",,186.05,"MD-DR,MD-ED,MD-OC,MD-RI,MD-SO"
MD-DR,"48.0308,27.8213","[47.8202, 48.2407, 27.6239, 28.0906]",,177.42,"MD-BA,MD-DO,MD-FL,MD-GL,MD-OC,MD-RI,MD-SI,MD-SO"
MD-DU,"47.3177,29.1221","[47.0748, 47.4147, 28.9908, 29.3634]",,214.02,"MD-AN,MD-CR,MD-IA,MD-OR,MD-SN"
MD-ED,"48.1453,27.2723","[47.9402, 48.3491, 27.0226, 27.5418]",,191.67,"MD-BR,MD-DO,MD-OC,MD-RI"
MD-FA,"47.5746,27.6821","[47.3721, 47.7774, 27.4009, 28.0034]",,220.11,"MD-BA,MD-GL,MD-RI,MD-SI,MD-UN"
MD-FL,"47.881,28.2713","[47.6909, 48.0709, 28.0233, 28.758]",,252.83,"MD-BA,MD-DR,MD-RE,MD-SD,MD-SI,MD-SN,MD-SO,MD-TE"
MD-GA,"46.207,28.7636","[45.4853, 46.4716, 28.2913, 29.0018]",,460.01,"MD-BS,MD-CA,MD-CM,MD-CS,MD-CT,MD-LE,MD-TA"
MD-GL,"47.7274,27.4842","[47.5846, 47.8701, 27.251, 27.8046]",,155.33,"MD-BA,MD-DR,MD-FA,MD-RI"
MD-HI,"46.8469,28.4179","[46.6045, 47.0897, 28.0829, 28.7428]",,302.04,"MD-CM,MD-IA,MD-LE,MD-NI,MD-SN,MD-ST,MD-UN"
MD-IA,"46.8661,28.8136","[46.6563, 47.0758, 28.4641, 29.1031]",,246.33,"MD-AN,MD-CM,MD-CR,MD-CS,MD-CU,MD-DU,MD-HI,MD-LE,MD-SN,MD-ST"
MD-LE,"46.5217,28.4014","[46.3367, 46.7068, 28.2093, 28.5801]",,190.7,"MD-CM,MD-CT,MD-GA,MD-HI,MD-IA,MD-SN"
MD-NI,"47.0825,28.1631","[46.9057, 47.2598, 27.9446, 28.3288]",,171.35,"MD-CL,MD-HI,MD-ST,MD-UN"
MD-OC,"48.3537,27.4405","[48.2151, 48.4921, 27.2167, 27.8808]",,181.71,"MD-BR,MD-DO,MD-DR,MD-ED,MD-SO"
MD-OR,"47.4002,28.7615","[47.1786, 47.6217, 28.4967, 29.1193]",,257.38,"MD-CL,MD-CR,MD-DU,MD-RE,MD-SN,MD-ST,MD-TE"
MD-RE,"47.7047,28.7967","[47.5248, 47.8845, 28.5951, 29.0283]",,172.35,"MD-FL,MD-OR,MD-SD,MD-SN,MD-TE"
MD-RI,"47.924,27.4492","[47.755, 48.093, 27.1416, 27.9199]",,246.52,"MD-BA,MD-DO,MD-DR,MD-ED,MD-FA,MD-GL,MD-SI,MD-SO"
MD-SD,"47.8449,28.6659","[47.7033, 47.9864, 28.4029, 28.9758]",,165.99,"MD-FL,MD-RE,MD-SI,MD-SN,MD-SO,MD-TE"
MD-SI,"47.6723,28.18","[47.4344, 47.9101, 27.8863, 28.4067]",,254.83,"MD-BA,MD-CL,MD-DR,MD-FA,MD-FL,MD-RI,MD-SD,MD-TE,MD-UN"
MD-SN,"47.7599,29.1176","[46.5467, 48.1824, 28.4915, 29.98]",,898.44,"MD-AN,MD-BD,MD-CL,MD-CM,MD-CR,MD-CS,MD-CU,MD-DU,MD-FL,MD-HI,MD-IA,MD-LE,MD-OR,MD-RE,MD-SD,MD-SO,MD-ST,MD-SV,MD-TE"
MD-SO,"48.1643,28.1616","[47.9752, 48.3543, 27.8173, 28.6356]",,271.39,"MD-DO,MD-DR,MD-FL,MD-OC,MD-RI,MD-SD,MD-SN"
MD-ST,"47.1618,28.5428","[46.9884, 47.3353, 28.2325, 28.7852]",,277.78,"MD-CL,MD-CR,MD-CU,MD-HI,MD-IA,MD-NI,MD-OR,MD-SN"
MD-SV,"46.516,29.6603","[46.3524, 46.6792, 29.3963, 30.1637]",,287.14,"MD-CS,MD-SN"
MD-TA,"45.8973,28.6228","[45.7255, 46.232, 28.3862, 29.0671]",,294.27,"MD-CA,MD-CT,MD-GA"
MD-TE,"47.5664,28.5248","[47.3949, 47.738, 28.1418, 28.705]",,171.85,"MD-CL,MD-FL,MD-OR,MD-RE,MD-SD,MD-SI,MD-SN,MD-UN"
MD-UN,"47.2569,27.8911","[47.0229, 47.4909, 27.573, 28.196]",,299.63,"MD-CL,MD-FA,MD-HI,MD-NI,MD-SI,MD-TE"
ME-01,"42.722,19.7546","[42.5885, 42.8537, 19.619, 19.9]",,102.88,"ME-03,ME-09,ME-13,ME-16,ME-22,ME-23"
ME-02,"42.1365,19.1501","[41.9644, 42.3087, 18.9373, 19.3849]",,219.11,"ME-05,ME-06,ME-20,ME-24,ME-25"
ME-03,"42.8304,19.8429","[42.6934, 42.9663, 19.6173, 20.0562]",,119.21,"ME-01,ME-04,ME-09,ME-11,ME-13,ME-16,ME-17,ME-23"
