subdivisionCode,latLng,boundingBox,geojson,perimeter,neighbours
ME-04,"43.0788,19.6921","[42.9143, 43.2453, 19.4106, 20.0639]",,174.96,"ME-03,ME-09,ME-11,ME-14,ME-17,ME-23"
ME-05,"42.2593,18.9206","[42.1618, 42.3567, 18.7937, 19.0116]",,87.57,"ME-02,ME-06,ME-10,ME-16"
ME-06,"42.4783,18.898","[42.2599, 42.6972, 18.7038, 19.1669]",,168.88,"ME-02,ME-05,ME-07,ME-10,ME-12,ME-16,ME-19,ME-25"
ME-07,"42.6121,19.1008","[42.4667, 42.7604, 18.9371, 19.2861]",,118.6,"ME-06,ME-09,ME-12,ME-16,ME-24"
ME-08,"42.5043,18.544","[42.3622, 42.5881, 18.4337, 18.6862]",,141.48,"ME-10,ME-12,ME-19"
ME-09,"42.7893,19.4247","[42.6459, 42.9371, 19.1961, 19.6642]",,142.08,"ME-01,ME-03,ME-04,ME-07,ME-11,ME-12,ME-16,ME-18"
ME-10,"42.4483,18.7871","[42.2671, 42.6293, 18.5436, 18.8222]",,201.71,"ME-05,ME-06,ME-08,ME-12,ME-19"
ME-11,"42.9769,19.4711","[42.8973, 43.0733, 19.3111, 19.6502]",,84.65,"ME-03,ME-04,ME-09,ME-14,ME-18,ME-21"
ME-12,"42.8416,18.8127","[42.5811, 43.102, 18.4504, 19.236]",,253.4,"ME-06,ME-07,ME-08,ME-09,ME-10,ME-14,ME-15,ME-16,ME-18,ME-21"
ME-13,"42.6088,19.9651","[42.5066, 42.7114, 19.826, 20.1119]",,86.43,"ME-01,ME-03,ME-22"
ME-14,"43.3121,19.306","[43.0661, 43.5585, 18.9124, 19.5513]",,217.86,"ME-04,ME-11,ME-12,ME-15,ME-18,ME-21"
ME-15,"43.1467,18.8215","[42.9335, 43.3607, 18.6484, 19.0234]",,147.51,"ME-12,ME-14,ME-18,ME-21"
ME-16,"42.5251,19.3798","[42.3357, 42.709, 18.9894, 19.6648]",,195.92,"ME-01,ME-03,ME-05,ME-06,ME-07,ME-09,ME-12,ME-24,ME-25"
ME-17,"42.8672,20.1905","[42.7453, 42.9891, 20.0176, 20.3529]",,105.98,"ME-03,ME-04,ME-23"
ME-18,"42.9788,19.1671","[42.8399, 43.1198, 18.9314, 19.3548]",,117.11,"ME-09,ME-11,ME-12,ME-14,ME-15,ME-21"
ME-19,"42.4202,18.7198","[42.3628, 42.4776, 18.6179, 18.7471]",,76.92,"ME-06,ME-08,ME-10"
ME-20,"41.9652,19.3155","[41.8465, 42.0838, 19.138, 19.3886]",,127.11,ME-02
ME-21,"43.1293,19.1532","[42.9967, 43.2625, 18.9719, 19.3721]",,108.94,"ME-11,ME-12,ME-14,ME-15,ME-18"
ME-22,"42.5481,19.8234","[42.4658, 42.6299, 19.7434, 19.9186]",,66.82,"ME-01,ME-13"
ME-23,"42.9257,19.9829","[42.8446, 43.0068, 19.886, 20.1035]",,58.28,"ME-01,ME-03,ME-04,ME-17"
ME-24,"42.4077,19.3899","[42.2681, 42.5472, 19.2749, 19.5976]",,115.56,"ME-02,ME-07,ME-16,ME-25"
ME-25,"42.3196,19.2265","[42.2434, 42.3954, 19.1081, 19.3151]",,70.72,"ME-02,ME-06,ME-16,ME-24"
MG-A,"-17.7508,48.7525","[-20.4638, -14.807, 47.6651, 50.0688]",,2600.61,"MG-D,MG-F,MG-M,MG-T"
MG-D,"-13.723,49.1802","[-15.9971, -11.952, 47.8583, 50.4861]",,2469.79,"MG-A,MG-M"
MG-F,"-21.7432,46.6146","[-24.297, -19.8813, 44.9777, 48.5985]",,2149.6,"MG-A,MG-T,MG-U"
MG-M,"-16.5944,46.172","[-19.3148, -13.8739, 43.9255, 49.4786]",,3393.52,"MG-A,MG-D,MG-T,MG-U"
MG-T,"-18.8041,47.2272","[-20.2833, -17.7082, 45.4657, 48.0368]",,1516.06,"MG-A,MG-F,MG-M,MG-U"
MG-U,"-21.8959,44.2787","[-25.6061, -18.1858, 43.2202, 47.4153]",,3338.72,"MG-F,MG-M,MG-T"
MH-ALK,"10.341,169.9419","[9.8904, 10.8513, 169.3269, 170.4765]",,407.34,"MH-KIL,MH-L,MH-LIK,MH-MEJ,MH-T,MH-UTI,MH-WTJ"
MH-ALL,"7.4125,168.7316","[6.5707, 7.7818, 168.253, 169.4408]",,396.27,"MH-JAB,MH-JAL,MH-KIL,MH-L,MH-NMU,MH-T"
MH-ARN,"7.0812,171.6563","[6.5743, 7.7993, 171.3729, 172.2271]",,388.85,"MH-AUR,MH-MAJ,MH-MIL,MH-T"
MH-AUR,"8.2674,171.0882","[7.6729, 8.4662, 170.3975, 171.8012]",,414.66,"MH-ARN,MH-MAJ,MH-MAL,MH-T"
MH-EBO,"4.6333,168.7167","[4.3697, 5.24, 168.4437, 169.2366]",,275.33,"MH-KIL,MH-L"
MH-ENI,"11.4206,162.3406","[9.5645, 11.8898, 160.5911, 162.6015]",,451.33,MH-L
MH-JAB,"7.7515,168.9774","[7.6231, 8.1307, 168.5577, 169.1828]",,198.48,"MH-ALL,MH-KIL,MH-L,MH-NMU,MH-T"
MH-JAL,"6.0,169.5833","[5.341, 6.982, 168.8605, 169.9263]",,444.05,"MH-ALL,MH-KIL,MH-L,MH-T"
MH-KIL,"5.6433,169.1225","[4.9198, 11.9166, 164.9893, 169.5369]",,707.89,"MH-ALK,MH-ALL,MH-EBO,MH-JAB,MH-JAL,MH-KWA,MH-L,MH-LAE,MH-LIB,MH-LIK,MH-NMK,MH-NMU,MH-RON,MH-T,MH-UJA,MH-UTI,MH-WTH,MH-WTJ"
MH-KWA,"9.1258,167.574","[8.4045, 10.2417, 166.3138, 168.136]",,644.2,"MH-KIL,MH-L,MH-LAE,MH-LIB,MH-NMU,MH-RON,MH-WTH"
MH-L,"8.2308,167.7953","[4.3697, 11.9166, 160.5911, 169.9263]",,3123.37,"MH-ALK,MH-ALL,MH-EBO,MH-ENI,MH-JAB,MH-JAL,MH-KIL,MH-KWA,MH-LAE,MH-LIB,MH-LIK,MH-NMK,MH-NMU,MH-RON,MH-T,MH-UJA,MH-UTI,MH-WTH,MH-WTJ"
MH-LAE,"8.9367,166.2321","[8.4272, 9.5703, 165.9673, 166.8576]",,356.26,"MH-KIL,MH-KWA,MH-L,MH-LIB,MH-UJA,MH-WTH"
MH-LIB,"8.3137,167.3751","[7.9189, 8.6679, 166.724, 167.72]",,302.26,"MH-KIL,MH-KWA,MH-L,MH-LAE,MH-NMU"
MH-LIK,"9.8269,169.3074","[9.4404, 10.4581, 168.7819, 169.7855]",,353.85,"MH-ALK,MH-KIL,MH-L,MH-T,MH-WTJ"
MH-MAJ,"7.091,171.3816","[6.5246, 7.7443, 170.8173, 171.559]",,371.76,"MH-ARN,MH-AUR,MH-MIL,MH-T"
MH-MAL,"8.7602,171.0486","[8.4165, 9.705, 170.2773, 171.4684]",,464.62,"MH-AUR,MH-MEJ,MH-T,MH-WTJ"
