subdivisionCode,latLng
BE-WNA,"50.2169,4.8012"
BF-01,"12.4778,-3.588"
BF-02,"10.3072,-4.4352"
BF-03,"12.3673,-1.5431"
BF-04,"11.7349,-0.2921"
BF-05,"13.2387,-1.035"
BF-06,"11.9068,-2.3045"
BF-07,"11.5834,-1.0556"
BF-08,"12.2556,1.0096"
BF-09,"11.389,-4.0414"
BF-10,"13.4591,-2.2496"
BF-11,"12.4041,-0.8864"
BF-12,"14.0279,-0.7718"
BF-13,"10.3869,-3.2832"
BF-BAL,"11.6581,-3.0541"
BF-BAM,"13.4681,-1.5987"
BF-BAN,"12.2266,-4.1913"
BF-BAZ,"11.8922,-1.4594"
BF-BGR,"10.8821,-3.4307"
BF-BLG,"11.4646,-0.4089"
BF-BLK,"12.2937,-2.1041"
BF-COM,"10.242,-4.4269"
BF-GAN,"12.2899,-0.8083"
BF-GNA,"12.9155,-0.066"
BF-GOU,"12.2278,0.5472"
BF-HOU,"11.3851,-4.3274"
BF-IOB,"11.0343,-2.9628"
BF-KAD,"12.3673,-1.5431"
BF-KEN,"11.404,-4.9851"
BF-KMD,"12.7269,0.7047"
BF-KMP,"11.4488,0.977"
BF-KOP,"11.4153,0.1499"
BF-KOS,"12.9593,-3.8437"
BF-KOT,"12.185,-0.2448"
BF-KOW,"12.6004,-1.7599"
BF-LER,"10.652,-5.2117"
BF-LOR,"13.9464,-2.1055"
BF-MOU,"12.2367,-3.3388"
BF-NAM,"13.2367,-0.4819"
BF-NAO,"11.2545,-1.27"
BF-NAY,"12.6602,-2.9891"
BF-NOU,"9.7967,-2.9266"
BF-OUB,"12.597,-1.2522"
BF-OUD,"14.6253,-0.3333"
BF-PAS,"12.8777,-2.2945"
BF-PON,"10.3086,-3.3017"
BF-SEN,"13.9951,-0.0992"
BF-SIS,"11.4484,-2.3912"
BF-SMT,"13.2405,-0.9747"
BF-SNG,"12.2102,-2.6421"
BF-SOM,"14.2861,-1.3452"
BF-SOR,"13.2312,-2.9622"
BF-TAP,"12.1451,1.7603"
BF-TUI,"11.4496,-3.3788"
BF-YAG,"13.4269,0.6161"
BF-YAT,"13.5943,-2.525"
BF-ZIR,"11.6753,-1.9147"
BF-ZON,"13.1975,-2.3085"
BF-ZOU,"11.5526,-1.0309"
BG-01,"41.7503,23.4873"
BG-02,"42.4446,27.2083"
BG-03,"43.2132,27.6194"
BG-04,"43.2152,25.6122"
BG-05,"43.8013,22.6795"
BG-06,"43.4003,23.7167"
BG-07,"42.9639,25.212"
BG-08,"43.6638,27.9002"
BG-09,"41.5688,25.3949"
BG-10,"42.3349,22.8884"
BG-11,"43.0444,24.491"
BG-12,"43.4816,23.116"
BG-13,"42.1487,24.1532"
BG-14,"42.6284,22.8823"
BG-15,"43.481,24.6061"
BG-16,"42.2383,24.7884"
BG-17,"43.6395,26.7022"
BG-18,"43.6999,26.0871"
BG-19,"43.9057,27.0705"
BG-20,"42.6417,26.2634"
BG-21,"41.6241,24.5913"
BG-22,"42.6543,23.3332"
BG-23,"42.6977,23.3217"
BG-24,"42.4132,25.5507"
BG-25,"43.253,26.4142"
BG-26,"41.7631,25.9256"
BG-27,"43.3088,27.0197"
BG-28,"42.3119,26.5637"
BH-13,"26.4243,50.4747"
BH-14,"25.84,50.5903"
BH-15,"26.4135,50.6797"
BH-17,"26.2778,50.4181"
BI-BB,"-3.1155,29.4013"
BI-BL,"-3.476,29.4536"
BI-BM,"-3.3494,29.3632"
BI-BR,"-3.8582,29.5844"
BI-CA,"-3.1451,30.5899"
BI-CI,"-2.8477,29.2617"
BI-GI,"-3.5382,29.9107"
BI-KI,"-2.5606,30.1651"
BI-KR,"-3.1255,30.0978"
BI-KY,"-3.0215,29.6458"
BI-MA,"-4.1978,29.8074"
BI-MU,"-3.2751,29.6308"
BI-MW,"-3.465,29.6709"
BI-MY,"-2.7336,30.3171"
BI-NG,"-2.8777,29.8995"
BI-RM,"-3.8755,29.4706"
BI-RT,"-3.8619,30.0677"
BI-RY,"-3.4574,30.3488"
BJ-AK,"10.7161,1.5332"
BJ-AL,"11.4649,2.7939"
BJ-AQ,"6.5408,2.2231"
BJ-BO,"9.7097,2.7423"
BJ-CO,"8.1085,2.1853"
BJ-DO,"9.268,1.7171"
BJ-KO,"7.1313,1.7567"
BJ-LI,"6.3663,2.4171"
BJ-MO,"6.4576,1.8674"
BJ-OU,"6.6014,2.5506"
BJ-PL,"7.1003,2.6409"
BJ-ZO,"7.2834,2.1228"
BN-BE,"4.435,114.4947"
BN-BM,"4.9752,114.9368"
BN-TE,"4.6292,115.1634"
BN-TU,"4.6827,114.6563"
BO-B,"-14.0,-65.0"
BO-C,"-17.333,-65.5011"
BO-H,"-20.0,-64.4167"
BO-L,"-15.0,-68.3333"
BO-N,"-11.1833,-67.1833"
BO-O,"-18.6667,-67.6667"
BO-P,"-20.6667,-66.6667"
BO-S,"-17.3333,-61.5"
BO-T,"-21.5833,-63.8333"
BQ-BO,"12.1796,-68.2581"
BQ-SA,"17.6325,-63.2375"
BQ-SE,"17.4833,-62.9667"
BR-AC,"-9.0479,-70.5265"
BR-AL,"-9.6612,-36.6502"
BR-AM,"-4.4799,-63.5185"
BR-AP,"1.3545,-51.9162"
BR-BA,"-12.2853,-41.9295"
BR-CE,"-5.3265,-39.7156"
BR-DF,"-15.7754,-47.7971"
BR-ES,"-19.5688,-40.1722"
BR-GO,"-15.9324,-50.1393"
BR-MA,"-5.2086,-45.393"
BR-MG,"-18.5265,-44.1589"
BR-MS,"-19.5853,-54.4795"
BR-MT,"-12.2115,-55.5717"
BR-PA,"-4.7494,-52.8973"
BR-PB,"-7.1219,-36.7247"
BR-PE,"-8.4116,-37.592"
BR-PI,"-7.6993,-42.5044"
BR-PR,"-24.4842,-51.8149"
BR-RJ,"-22.2753,-42.4194"
BR-RN,"-5.6781,-36.4782"
BR-RO,"-10.9431,-62.8278"
BR-RR,"2.1351,-61.3632"
BR-RS,"-29.8425,-53.7681"
BR-SC,"-27.0628,-51.115"
BR-SE,"-10.6744,-37.3774"
BR-SP,"-22.0703,-48.4334"
BR-TO,"-10.8855,-48.3717"
BS-AK,"22.4145,-74.0607"
BS-BI,"25.7201,-79.2745"
BS-BP,"24.0963,-76.4023"
BS-BY,"25.5905,-77.7261"
BS-CE,"25.239,-76.3292"
BS-CI,"24.3385,-75.615"
BS-CK,"22.894,-74.0367"
BS-CO,"26.5255,-77.2838"
BS-CS,"24.4344,-77.7934"
BS-EG,"26.6772,-78.0135"
BS-EX,"23.9685,-76.1799"
BS-FP,"26.5357,-78.6954"
BS-GC,"27.1435,-78.2207"
BS-HI,"25.5014,-76.6307"
BS-HT,"26.5407,-76.9594"
BS-IN,"21.2325,-73.3096"
BS-LI,"23.303,-75.1059"
BS-MC,"24.2188,-77.7176"
BS-MG,"22.5621,-73.4025"
BS-MI,"26.266,-77.6183"
BS-NE,"25.3777,-76.7843"
BS-NO,"26.9384,-77.6838"
BS-NP,"25.1944,-77.2953"
BS-NS,"24.8875,-78.0812"
BS-RC,"23.8263,-74.9327"
BS-RI,"22.4766,-75.8021"
BS-SA,"23.8985,-77.4565"
BS-SE,"24.7311,-76.2927"
BS-SO,"26.004,-77.3567"
BS-SS,"24.032,-74.49"
BS-SW,"25.5402,-76.9606"
BS-WG,"26.744,-78.8789"
BT-11,"27.4646,89.3183"
BT-12,"26.9431,89.3771"
BT-13,"27.3597,89.2358"
BT-14,"27.0353,89.0147"
BT-15,"27.5583,89.5525"
BT-21,"27.0059,90.1578"
BT-22,"27.0711,89.8201"
BT-23,"27.6686,89.709"
BT-24,"27.5446,89.9556"
BT-31,"26.9864,90.3801"
BT-32,"27.4982,90.4691"
BT-33,"27.7079,90.7697"
BT-34,"27.0821,90.8409"
BT-41,"27.2844,91.5743"
BT-42,"27.2065,91.09"
BT-43,"27.003,91.3677"
BT-44,"27.75,91.1833"
BT-45,"26.8751,91.5511"
BT-GA,"27.9191,89.7875"
BT-TY,"27.7205,91.4154"
BW-CE,"-21.479,26.2154"
BW-CH,"-18.3915,24.7068"
BW-FR,"-21.1664,27.5025"
BW-GA,"-24.6581,25.9088"
BW-GH,"-22.1458,22.7611"
BW-JW,"-24.6178,24.7044"
BW-KG,"-24.8491,21.7883"
BW-KL,"-24.1341,26.4177"
BW-KW,"-23.9028,24.9214"
BW-LO,"-25.2101,25.682"
BW-NE,"-21.0245,27.5148"
BW-NW,"-19.3894,23.268"
BW-SE,"-24.6564,26.0575"
BW-SO,"-24.7999,24.5801"
BW-SP,"-21.9786,27.8374"
BW-ST,"-20.5636,26.2215"
BY-BR,"52.4122,25.2548"
BY-HM,"53.9025,27.5618"
BY-HO,"52.3128,29.5419"
BY-HR,"53.7021,25.0712"
BY-MA,"53.7254,30.3863"
BY-MI,"53.6099,27.591"
BY-VI,"55.2382,28.7742"
BZ-BZ,"17.2832,-87.9382"
BZ-CY,"16.9498,-88.8941"
BZ-CZL,"18.2276,-88.2921"
BZ-OW,"17.7832,-88.862"
BZ-SC,"16.7476,-88.3432"
BZ-TOL,"16.2803,-88.5541"
CA-AB,"55.0013,-115.0021"
CA-BC,"55.0013,-125.0024"
CA-MB,"55.0013,-97.001"
CA-NB,"46.5003,-66.7502"
CA-NL,"53.8217,-61.2296"
CA-NS,"45.196,-63.1654"
CA-NT,"65.0,-118.0"
CA-NU,"65.0378,-92.5541"
CA-ON,"50.0007,-86.001"
CA-PE,"46.3356,-63.1467"
CA-QC,"52.4761,-71.8259"
CA-SK,"55.5321,-106.1412"
CA-YT,"63.0001,-136.0025"
CD-BC,"-5.3102,14.2972"
CD-BU,"3.6644,25.2138"
CD-EQ,"0.062,19.1408"
CD-HK,"-10.6465,27.6307"
CD-HL,"-8.1495,25.5558"
CD-HU,"3.3398,28.7893"
CD-IT,"2.1016,29.056"
CD-KC,"-6.0497,22.2707"
CD-KE,"-6.1536,23.5961"
CD-KG,"-6.1822,17.7712"
CD-KL,"-4.8108,18.8055"
CD-KN,"-4.3197,15.3424"
CD-KS,"-4.7574,21.1008"
CD-LO,"-6.4044,24.6476"
CD-LU,"-9.6969,23.0225"
CD-MA,"-2.4957,25.952"
CD-MN,"-2.5407,18.6066"
CD-MO,"2.0295,21.1758"
CD-NK,"-0.5646,28.7062"
CD-NU,"4.0176,21.3779"
CD-SA,"-3.7736,23.4488"
CD-SK,"-3.2969,28.1674"
CD-SU,"3.3283,19.4628"
CD-TA,"-6.7106,27.988"
CD-TO,"0.2077,25.6324"
CD-TU,"-0.4531,21.6907"
CF-AC,"7.1314,17.7041"
CF-BB,"8.6985,20.5281"
CF-BGF,"4.3635,18.5836"
CF-BK,"5.1283,21.3884"
CF-HK,"7.3626,22.9271"
CF-HM,"6.3498,25.6509"
CF-HS,"4.5663,15.8671"
CF-KB,"7.5048,19.1924"
CF-KG,"5.948,19.2159"
CF-LB,"4.1035,17.5654"
CF-MB,"5.5231,23.4446"
CF-MP,"5.0727,18.1718"
CF-NM,"5.2232,15.3518"
CF-OP,"6.7057,16.1443"
CF-SE,"3.6755,16.3247"
CF-UK,"6.3111,20.5448"
CF-VK,"9.8251,22.3764"
CG-11,"-4.2869,13.3972"
CG-12,"-3.7299,15.0539"
CG-13,"1.4284,15.4223"
CG-14,"-2.171,15.2286"
CG-15,"0.2803,14.5293"
CG-16,"-4.8271,12.0261"
CG-2,"1.6789,17.4748"
CG-5,"-4.1961,11.9104"
CG-7,"1.6789,17.4748"
CG-8,"-0.4937,16.1602"
CG-9,"-2.9077,12.3298"
CG-BZV,"-4.2307,15.3083"
CH-AG,"47.4124,8.1948"
CH-AI,"47.3007,9.3992"
CH-AR,"47.396,9.3706"
CH-BE,"46.8382,7.6005"
CH-BL,"47.5093,7.6588"
CH-BS,"47.5579,7.5928"
CH-FR,"46.6789,7.1027"
CH-GE,"46.2257,6.1439"
CH-GL,"46.9797,9.1088"
CH-GR,"46.6961,9.6027"
CH-JU,"47.3567,7.1599"
CH-LU,"47.0908,8.172"
CH-NE,"47.0099,6.8244"
CH-NW,"46.9428,8.412"
CH-OW,"46.8614,8.2068"
CH-SG,"47.1561,9.3383"
CH-SH,"47.6971,8.6347"
CH-SO,"47.3187,7.6698"
CH-SZ,"47.0572,8.7222"
CH-TG,"47.586,9.1429"
CH-TI,"46.3352,8.7526"
CH-UR,"46.7864,8.642"
CH-VD,"46.6357,6.5321"
CH-VS,"46.2303,7.6606"
CH-ZG,"47.1486,8.5539"
CH-ZH,"47.4133,8.6564"
CI-AB,"5.4091,-4.0422"
CI-BS,"5.3523,-6.6767"
CI-CM,"6.0762,-3.3082"
CI-DN,"9.638,-7.39"
CI-GD,"5.9536,-5.607"
CI-LC,"7.0524,-4.4419"
CI-LG,"5.8452,-4.2931"
CI-MG,"6.9418,-7.6542"
CI-SM,"7.0552,-6.3369"
CI-SV,"9.5653,-5.5594"
CI-VB,"8.2703,-4.9452"
CI-WR,"8.3713,-6.7463"
CI-YM,"6.8691,-5.2823"
CI-ZZ,"8.6703,-3.3447"
CL-AI,"-46.4712,-73.5207"
CL-AN,"-23.6041,-69.0843"
CL-AP,"-18.5713,-69.7885"
CL-AR,"-38.6679,-72.261"
CL-AT,"-27.5572,-70.0157"
CL-BI,"-37.3391,-72.4107"
CL-CO,"-30.7547,-70.9006"
CL-LI,"-34.5345,-71.0355"
CL-LL,"-42.3008,-73.1054"
CL-LR,"-39.9743,-72.6677"
CL-MA,"-53.3528,-71.5548"
CL-ML,"-35.5972,-71.4887"
CL-NB,"-36.6332,-71.9385"
CL-RM,"-33.5739,-70.6206"
CL-TA,"-20.1637,-69.5463"
CL-VS,"-32.5976,-70.853"
CM-AD,"6.8497,13.2163"
CM-CE,"4.6863,11.9415"
CM-EN,"10.6377,14.2738"
CM-ES,"3.9894,14.1784"
CM-LT,"4.203,10.0563"
CM-NO,"8.7713,13.7804"
CM-NW,"6.3775,10.3864"
CM-OU,"5.5356,10.5829"
CM-SU,"2.7312,11.6255"
CM-SW,"5.0578,9.2289"
CN-AH,"32.0,117.0"
CN-BJ,"40.1906,116.4121"
CN-CQ,"30.0552,107.8749"
CN-FJ,"26.1932,118.2209"
CN-GD,"23.1358,113.1983"
CN-GS,"38.0,102.0"
CN-GX,"24.0,109.0"
CN-GZ,"27.0,107.0"
CN-HA,"34.0,114.0"
CN-HB,"31.0,112.0"
CN-HE,"39.0,116.0"
CN-HI,"19.2,109.6"
CN-HK,"22.2793,114.1629"
CN-HL,"48.0,128.0"
CN-HN,"27.6662,111.7487"
CN-JL,"43.729,126.1997"
CN-JS,"33.0,120.0"
CN-JX,"28.0,116.0"
CN-LN,"41.2374,122.9955"
CN-MO,"22.1758,113.5514"
CN-NM,"43.2443,114.3252"
CN-NX,"37.0,106.0"
CN-QH,"36.0,96.0"
CN-SC,"30.5,102.5"
CN-SD,"36.399,118.5056"
CN-SH,"31.2313,121.47"
CN-SN,"35.5896,109.3013"
CN-SX,"37.0,112.0"
CN-TJ,"39.3033,117.4164"
CN-TW,"22.3694,114.1085"
CN-XJ,"42.4805,85.4633"
CN-XZ,"29.8556,90.875"
CN-YN,"25.0,102.0"
CN-ZJ,"29.0,120.0"
CO-AMA,"-1.3053,-71.4659"
CO-ANT,"7.0,-75.5"
CO-ARA,"6.6667,-71.0"
CO-ATL,"10.6773,-74.9719"
CO-BOL,"9.366,-74.8024"
CO-BOY,"5.6279,-72.8269"
CO-CAL,"5.3303,-75.2873"
CO-CAQ,"1.1153,-74.1057"
CO-CAS,"5.5,-71.5"
CO-CAU,"2.7156,-76.6627"
CO-CES,"9.3333,-73.5"
CO-CHO,"6.0,-77.0"
CO-COR,"8.3345,-75.6666"
CO-CUN,"5.1097,-74.0996"
CO-DC,"4.6534,-74.0836"
CO-GUA,"2.5,-69.0"
CO-GUV,"1.7899,-72.3762"
CO-HUI,"2.4739,-75.59"
CO-LAG,"11.4354,-72.9002"
CO-MAG,"10.5808,-74.0686"
CO-MET,"3.5,-73.0"
CO-NAR,"1.5842,-77.8586"
CO-NSA,"8.4418,-73.0493"
CO-PUT,"0.5,-76.0"
CO-QUI,"4.4028,-75.7026"
CO-RIS,"5.2103,-75.9842"
CO-SAN,"7.0,-73.25"
CO-SAP,"13.3531,-81.375"
CO-SUC,"9.0,-75.0"
CO-TOL,"4.0356,-75.2087"
CO-VAC,"3.6984,-76.5502"
