subdivisionCode,latLng
GB-HNS,"51.4617,-0.3801"
GB-HPL,"54.6744,-1.2618"
GB-HRT,"51.8401,-0.0979"
GB-HRW,"51.5968,-0.3373"
GB-HRY,"51.5879,-0.1054"
GB-IOS,"49.9203,-6.2929"
GB-IOW,"50.671,-1.3327"
GB-ISL,"51.547,-0.1017"
GB-IVC,"55.9,-4.75"
GB-KEC,"51.5038,-0.2008"
GB-KEN,"51.2748,0.5232"
GB-KHL,"53.7624,-0.3301"
GB-KIR,"53.6423,-1.7809"
GB-KTT,"51.3818,-0.277"
GB-KWL,"53.4552,-2.8547"
GB-LAN,"53.8612,-2.5471"
GB-LBC,"54.4974,-6.0331"
GB-LBH,"51.4605,-0.1213"
GB-LCE,"52.6361,-1.1306"
GB-LDS,"53.7974,-1.5438"
GB-LEC,"52.6667,-1.0"
GB-LEW,"51.4535,-0.0125"
GB-LIN,"53.1667,-0.25"
GB-LIV,"53.4072,-2.9917"
GB-LND,"51.5156,-0.092"
GB-LUT,"51.8911,-0.423"
GB-MAN,"53.4795,-2.2451"
GB-MDB,"54.5462,-1.2358"
GB-MDW,"51.4157,0.5687"
GB-MEA,"54.8726,-6.1502"
GB-MIK,"52.0828,-0.7332"
GB-MLN,"55.8333,-3.0833"
GB-MON,"51.7501,-2.8333"
GB-MRT,"51.4109,-0.1881"
GB-MRY,"57.4167,-3.25"
GB-MTY,"51.7397,-3.3648"
GB-MUL,"54.6386,-6.6926"
GB-NAY,"55.7279,-4.7272"
GB-NBL,"55.25,-2.0006"
GB-NEL,"53.5368,-0.0937"
GB-NET,"54.9738,-1.6132"
GB-NFK,"52.6667,1.0"
GB-NGM,"52.9534,-1.1496"
GB-NIR,"54.586,-6.9592"
GB-NLK,"55.8831,-3.9462"
GB-NLN,"53.5897,-0.6023"
GB-NMD,"54.1663,-6.0857"
GB-NNH,"52.4176,-0.6431"
GB-NSM,"51.3966,-2.7691"
GB-NTL,"51.669,-3.7218"
GB-NTT,"53.1459,-1.0215"
GB-NTY,"55.0298,-1.5083"
GB-NWM,"51.53,0.0293"
GB-NWP,"51.5882,-2.9975"
GB-NYK,"54.0916,-1.5359"
GB-OLD,"53.5416,-2.1148"
GB-ORK,"58.9418,-3.1297"
GB-OXF,"51.8333,-1.25"
GB-PEM,"51.8339,-4.9167"
GB-PKN,"56.5,-3.75"
GB-PLY,"50.3714,-4.1424"
GB-POR,"50.8,-1.0906"
GB-POW,"52.3272,-3.3553"
GB-PTE,"52.5907,-0.2631"
GB-RCC,"54.5679,-1.0055"
GB-RCH,"53.6154,-2.1558"
GB-RCT,"51.6652,-3.4578"
GB-RDB,"51.5863,0.0698"
GB-RDG,"51.4515,-0.9836"
GB-RFW,"55.8333,-4.5"
GB-RIC,"51.4406,-0.3076"
GB-ROT,"53.431,-1.3552"
GB-RUT,"52.6423,-0.6633"
GB-SAW,"52.5148,-2.0135"
GB-SAY,"55.2998,-4.646"
GB-SCB,"55.5833,-2.8333"
GB-SCT,"56.7861,-4.1141"
GB-SFK,"52.241,1.0466"
GB-SFT,"53.5034,-2.9715"
GB-SGC,"51.5492,-2.481"
GB-SHF,"53.3807,-1.4702"
GB-SHN,"53.4535,-2.7343"
GB-SHR,"52.6523,-2.7959"
GB-SKP,"53.4079,-2.1602"
GB-SLF,"53.4877,-2.2892"
GB-SLG,"51.5111,-0.5941"
GB-SLK,"55.5832,-3.8332"
GB-SND,"54.9059,-1.3829"
GB-SOL,"52.413,-1.7769"
GB-SOM,"51.0833,-3.0"
GB-SOS,"51.5388,0.7128"
GB-SRY,"51.2715,-0.3415"
GB-STE,"53.0162,-2.1813"
GB-STG,"56.2514,-4.3374"
GB-STH,"50.9025,-1.4042"
GB-STN,"51.3575,-0.1736"
GB-STS,"52.8247,-2.0075"
GB-STT,"54.5546,-1.3585"
GB-STY,"54.9699,-1.4477"
GB-SWA,"51.6546,-4.0028"
GB-SWD,"51.5876,-1.7618"
GB-SWK,"51.4653,-0.069"
GB-TAM,"53.4786,-2.077"
GB-TFW,"52.7214,-2.5009"
GB-THR,"51.508,0.3963"
GB-TOB,"50.4462,-3.5395"
GB-TOF,"51.7015,-3.0521"
GB-TRF,"53.4189,-2.3593"
GB-TWH,"51.5146,-0.0351"
GB-VGL,"51.4471,-3.3989"
GB-WAR,"52.3213,-1.5537"
GB-WBK,"51.4463,-1.2759"
GB-WDU,"55.9667,-4.5333"
GB-WFT,"51.5983,-0.0177"
GB-WGN,"53.5457,-2.6265"
GB-WIL,"51.25,-1.9167"
GB-WKF,"53.683,-1.4967"
GB-WLL,"52.5848,-1.9823"
GB-WLN,"55.9167,-3.5"
GB-WLS,"52.2928,-3.7389"
GB-WLV,"52.5848,-2.1276"
GB-WND,"51.4519,-0.1995"
GB-WNH,"52.2273,-0.9967"
GB-WNM,"51.4803,-0.677"
GB-WOK,"51.4571,-0.8865"
GB-WOR,"52.2109,-2.157"
GB-WRL,"53.341,-3.0501"
GB-WRT,"53.4019,-2.568"
GB-WRX,"53.0005,-2.9911"
GB-WSM,"51.4973,-0.1371"
GB-WSX,"51.0,-0.4167"
GB-YOR,"53.9657,-1.0743"
GB-ZET,"60.3333,-1.3333"
GD-01,"12.1163,-61.6613"
GD-02,"12.0428,-61.6779"
GD-03,"12.0501,-61.7325"
GD-04,"12.1444,-61.7122"
GD-05,"12.1886,-61.6954"
GD-06,"12.1999,-61.6381"
GD-10,"12.483,-61.4448"
GE-AB,"42.9989,41.4503"
GE-AJ,"41.6811,42.0776"
GE-GU,"41.9763,42.1266"
GE-IM,"42.1876,42.9522"
GE-KA,"41.8144,45.7175"
GE-KK,"41.5125,44.5495"
GE-MM,"42.2267,44.7158"
GE-RL,"42.6685,43.1506"
GE-SJ,"41.5296,43.2434"
GE-SK,"42.1853,43.9422"
GE-SZ,"42.6629,42.2329"
GE-TB,"41.6935,44.8014"
GH-AA,"5.8102,0.0995"
GH-AF,"6.9169,-2.5351"
GH-AH,"6.8003,-1.5188"
GH-BE,"7.8035,-1.0876"
GH-BO,"7.6762,-2.4735"
GH-CP,"5.7244,-1.3762"
GH-EP,"6.4469,-0.3771"
GH-NE,"10.396,-0.5411"
GH-NP,"9.66,-0.3944"
GH-OT,"7.8634,0.3186"
GH-SV,"9.1401,-1.7111"
GH-TV,"6.5349,0.4556"
GH-UE,"10.7246,-0.8197"
GH-UW,"10.367,-2.0921"
GH-WN,"6.2279,-2.8235"
GH-WP,"5.4261,-2.1287"
GL-AV,"76.5049,-56.2912"
GL-KU,"61.0,-45.0"
GL-QE,"66.5,-48.0"
GL-QT,"68.2684,-51.1518"
GL-SM,"66.0,-40.0"
GM-B,"13.4553,-16.5756"
GM-L,"13.3978,-15.7263"
GM-M,"13.5751,-14.7797"
GM-N,"13.4731,-16.1334"
GM-U,"13.405,-14.1496"
GM-W,"13.2585,-16.4999"
GN-B,"11.3407,-13.9441"
GN-BE,"8.9094,-8.3675"
GN-BF,"10.3416,-14.159"
GN-BK,"11.0611,-14.3652"
GN-C,"9.5171,-13.6998"
GN-CO,"9.7734,-13.3114"
GN-D,"10.1154,-13.1917"
GN-DB,"10.725,-11.0479"
GN-DI,"11.5325,-10.6727"
GN-DL,"10.8843,-12.046"
GN-DU,"10.0914,-13.5682"
GN-F,"10.3143,-10.8901"
GN-FA,"9.7993,-10.7081"
GN-FO,"9.3852,-13.0905"
GN-FR,"10.5435,-13.5349"
GN-GA,"11.7243,-13.2478"
GN-GU,"8.6822,-10.2054"
GN-K,"10.6248,-9.3175"
GN-KA,"10.2433,-9.206"
GN-KB,"11.7668,-11.8269"
GN-KD,"10.1102,-12.6607"
GN-KE,"9.3984,-9.1579"
GN-KN,"12.3351,-13.1676"
GN-KO,"10.5093,-9.8694"
GN-KS,"9.146,-10.0264"
GN-L,"11.7615,-12.0119"
GN-LA,"11.3957,-12.2912"
GN-LE,"11.5034,-12.6043"
GN-LO,"8.0167,-8.3078"
GN-M,"10.6619,-12.114"
GN-MC,"8.2948,-9.2094"
GN-MD,"10.8249,-8.7356"
GN-ML,"12.042,-12.2623"
GN-MM,"10.5671,-11.9234"
GN-N,"8.3926,-8.8573"
GN-NZ,"7.8933,-8.8813"
GN-PI,"10.8994,-12.6361"
GN-SI,"11.68,-9.5502"
GN-TE,"10.8932,-13.4241"
GN-TO,"11.5115,-11.483"
GN-YO,"7.5346,-9.125"
GQ-AN,"-1.4196,5.641"
GQ-BN,"3.6485,8.7851"
GQ-BS,"3.4245,8.6646"
GQ-C,"1.6354,10.4694"
GQ-CS,"1.397,10.4539"
GQ-DJ,"1.5981,10.7971"
GQ-I,"3.4987,8.7136"
GQ-KN,"2.0579,10.9856"
GQ-LI,"1.6026,9.8416"
GQ-WN,"1.4649,11.1317"
GR-69,"40.2318,24.2582"
GR-A,"41.1207,24.4781"
GR-B,"40.89,22.7694"
GR-C,"40.3699,21.4992"
GR-D,"39.5502,20.7486"
GR-E,"39.5061,22.3192"
GR-F,"38.247,20.5317"
GR-G,"38.4284,21.5018"
GR-H,"38.6065,22.9435"
GR-I,"37.8721,23.7975"
GR-J,"37.3522,22.33"
GR-K,"37.661,26.4674"
GR-L,"37.1501,25.4551"
GR-M,"35.2454,24.739"
GT-01,"14.5778,-90.4402"
GT-02,"14.91,-90.0683"
GT-03,"14.5532,-90.7547"
GT-04,"14.654,-90.9273"
GT-05,"14.1921,-91.0264"
GT-06,"14.1502,-90.3509"
GT-07,"14.7039,-91.2828"
GT-08,"15.0423,-91.4061"
GT-09,"14.8595,-91.5932"
GT-10,"14.374,-91.365"
GT-11,"14.4201,-91.8297"
GT-12,"14.9533,-91.912"
GT-13,"15.6064,-91.6442"
GT-14,"15.4382,-91.0075"
GT-15,"15.1171,-90.411"
GT-16,"15.595,-90.0918"
GT-17,"16.8318,-90.0451"
GT-18,"15.5701,-88.9829"
GT-19,"15.0201,-89.4859"
GT-20,"14.6891,-89.396"
GT-21,"14.6508,-89.9391"
GT-22,"14.1477,-89.8873"
GW-BA,"12.1349,-14.7504"
GW-BL,"11.2795,-16.0294"
GW-BM,"11.8817,-15.7784"
GW-BS,"11.8702,-15.6077"
GW-CA,"12.1954,-16.0992"
GW-GA,"12.117,-14.1763"
GW-L,"12.1184,-14.4558"
GW-N,"12.2099,-15.7148"
GW-OI,"12.2876,-15.3388"
GW-QU,"11.634,-15.0953"
GW-S,"11.4088,-16.0042"
GW-TO,"11.2981,-15.117"
GY-BA,"7.7559,-59.7179"
GY-CU,"6.1889,-59.8497"
GY-DE,"6.4548,-58.1281"
GY-EB,"3.8973,-58.1384"
GY-ES,"6.6021,-58.5342"
GY-MA,"6.2767,-57.8239"
GY-PM,"7.205,-58.8296"
GY-PT,"4.8622,-59.4194"
GY-UD,"5.5613,-58.1542"
GY-UT,"2.845,-58.9785"
HN-AT,"15.8172,-87.1147"
HN-CH,"13.3714,-87.0714"
HN-CL,"15.715,-85.7024"
HN-CM,"14.5505,-87.691"
HN-CP,"14.8959,-88.9256"
HN-CR,"15.4784,-88.0344"
HN-EP,"13.962,-86.5628"
HN-FM,"14.3407,-87.1136"
HN-GD,"15.4333,-84.1487"
HN-IB,"16.3218,-86.1787"
HN-IN,"14.2556,-88.2261"
HN-LE,"14.4557,-88.6189"
HN-LP,"14.1272,-87.9617"
HN-OC,"14.4759,-89.0366"
HN-OL,"14.8211,-85.955"
HN-SB,"15.0961,-88.3674"
HN-VA,"13.5111,-87.5473"
HN-YO,"15.2994,-87.2917"
HR-01,"45.7018,16.2347"
HR-02,"46.0983,15.9377"
HR-03,"45.3982,16.4955"
HR-04,"45.2827,15.4191"
HR-05,"46.2573,16.2901"
HR-06,"46.1255,16.8221"
HR-07,"45.7462,16.9212"
HR-08,"45.4226,14.6172"
HR-09,"44.6682,15.3325"
HR-10,"45.7733,17.5789"
HR-11,"45.4381,17.5134"
HR-12,"45.1614,17.8255"
HR-13,"44.1294,15.5432"
HR-14,"45.5411,18.4385"
HR-15,"43.9308,16.0957"
HR-16,"45.214,18.9216"
HR-17,"43.5003,16.8156"
HR-18,"45.1855,13.909"
HR-19,"42.8143,17.3747"
HR-20,"46.4062,16.5472"
HR-21,"45.8131,15.9773"
HT-AR,"19.3366,-72.4924"
HT-CE,"18.9908,-71.9944"
HT-GA,"18.5163,-74.0986"
HT-ND,"19.6258,-72.2699"
HT-NE,"19.5178,-71.8728"
HT-NI,"18.442,-73.3914"
HT-NO,"19.8469,-73.059"
HT-OU,"18.7669,-72.4387"
HT-SD,"18.2613,-73.8445"
HT-SE,"18.2974,-72.3746"
HU-BA,"45.9714,18.1669"
HU-BC,"46.6798,21.0985"
HU-BE,"46.7863,20.9821"
HU-BK,"46.5809,19.5129"
HU-BU,"47.4814,19.1461"
HU-BZ,"48.2398,21.1353"
HU-CS,"46.4515,20.2278"
HU-DE,"47.5314,21.626"
HU-DU,"46.9649,18.9405"
HU-EG,"47.899,20.3744"
HU-ER,"47.3772,18.9214"
HU-FE,"47.0939,18.6089"
HU-GS,"47.661,17.3796"
HU-GY,"47.6835,17.6343"
HU-HB,"47.4408,21.4752"
HU-HE,"47.7884,20.1714"
HU-HV,"46.4171,20.3196"
HU-JN,"47.2972,20.4532"
HU-KE,"47.6512,18.2552"
HU-KM,"46.9074,19.6917"
HU-KV,"46.3565,17.7887"
HU-MI,"48.1031,20.79"
HU-NK,"46.4548,16.9924"
HU-NO,"47.9874,19.5472"
HU-NY,"47.9558,21.7168"
HU-PE,"47.3716,19.3453"
HU-PS,"46.0765,18.228"
HU-SD,"46.2546,20.1486"
HU-SF,"47.191,18.4108"
HU-SH,"47.2291,16.6188"
HU-SK,"47.1754,20.1946"
HU-SN,"47.6803,16.5983"
HU-SO,"46.4397,17.6213"
HU-SS,"46.3485,18.7017"
HU-ST,"48.0961,19.8006"
HU-SZ,"48.0298,22.004"
HU-TB,"47.5838,18.398"
HU-TO,"46.4883,18.505"
HU-VA,"47.1372,16.7809"
HU-VE,"47.1207,17.593"
HU-VM,"47.0934,17.908"
HU-ZA,"46.6713,16.8895"
HU-ZE,"46.8416,16.8456"
ID-AC,"4.3685,97.0253"
ID-BA,"-8.2271,115.1919"
ID-BB,"-2.7053,106.3586"
ID-BE,"-4.0035,101.8393"
ID-BT,"-6.4454,106.1376"
ID-GO,"0.7186,122.4556"
ID-JA,"-1.707,102.714"
ID-JB,"-6.8892,107.6405"
ID-JI,"-7.6977,112.4914"
ID-JK,"-6.1754,106.8272"
ID-JT,"-7.3032,110.0044"
ID-JW,"-6.7115,110.6337"
ID-KA,"-0.6488,113.4681"
ID-KB,"-0.1322,111.0969"
ID-KI,"0.7884,116.242"
ID-KR,"-0.1548,104.5804"
ID-KS,"-2.9286,115.3701"
ID-KT,"-1.4996,113.2903"
ID-KU,"3.0236,116.2049"
ID-LA,"-4.8555,105.0273"
ID-MA,"-3.1188,129.4208"
ID-ML,"-2.5842,127.4789"
ID-MU,"0.6301,127.972"
ID-NB,"-8.7893,117.1462"
ID-NT,"-8.5657,120.6979"
ID-NU,"-9.0,120.0"
ID-PA,"-2.4749,138.0848"
ID-PB,"-2.8554,133.4738"
ID-PD,"-1.0986,131.3525"
ID-PE,"-4.2478,139.3725"
ID-PP,"-4.0577,136.6165"
ID-PS,"-6.5009,139.3835"
ID-PT,"-3.8642,136.3733"
ID-RI,"1.0498,101.6548"
ID-SA,"0.6556,124.0902"
ID-SB,"-0.5828,100.6133"
ID-SG,"-3.5491,121.728"
ID-SL,"-1.0075,121.4798"
ID-SM,"0.1499,102.8198"
ID-SN,"-3.6447,119.9472"
ID-SR,"-2.4975,119.3919"
ID-SS,"-3.2193,104.4075"
ID-ST,"-1.6938,120.8089"
ID-SU,"2.1924,99.3812"
ID-YO,"-7.9778,110.3672"
IE-C,"53.721,-8.9253"
IE-CE,"52.8573,-8.9374"
IE-CN,"54.035,-7.2937"
IE-CO,"51.9175,-8.586"
IE-CW,"52.6906,-6.8249"
IE-D,"53.4065,-6.2867"
IE-DL,"54.9208,-7.9524"
IE-G,"53.3435,-8.8734"
IE-KE,"53.1545,-6.8184"
IE-KK,"52.5687,-7.189"
IE-KY,"52.1453,-9.5174"
IE-L,"53.1185,-6.9918"
IE-LD,"53.732,-7.6953"
IE-LH,"53.9063,-6.5321"
IE-LK,"52.5188,-8.7958"
IE-LM,"54.1402,-8.0525"
IE-LS,"52.9985,-7.398"
IE-M,"52.3076,-8.5709"
IE-MH,"53.6498,-6.5884"
IE-MN,"54.1611,-6.9464"
IE-MO,"53.9087,-9.2983"
IE-OY,"53.1362,-7.8103"
IE-RN,"53.6983,-8.2183"
IE-SO,"54.193,-8.7305"
IE-TA,"52.6848,-7.8981"
IE-U,"54.0935,-7.199"
IE-WD,"52.1509,-7.6578"
IE-WH,"53.5578,-7.3479"
IE-WW,"52.9582,-6.3814"
IE-WX,"52.4602,-6.6065"
IL-D,"30.6823,34.8824"
IL-HA,"32.6267,34.9807"
IL-JM,"31.7428,35.0641"
IL-M,"32.0843,34.9169"
IL-TA,"32.0957,34.8063"
IL-Z,"32.8619,35.4741"
IN-AN,"12.6112,92.8317"
IN-AP,"15.9241,80.1864"
IN-AR,"28.0938,94.5921"
IN-AS,"26.4074,93.2551"
IN-BR,"25.6441,85.9065"
IN-CG,"21.6637,81.8406"
IN-CH,"30.7298,76.7841"
IN-DH,"20.7182,70.9324"
IN-DL,"28.6328,77.2198"
IN-GA,"15.3005,74.0855"
IN-GJ,"22.385,71.7453"
IN-HP,"31.9292,77.1828"
IN-HR,"29.0,76.0"
IN-JH,"23.456,85.2557"
IN-JK,"33.6649,75.163"
IN-KA,"14.9562,75.7897"
IN-KL,"10.3529,76.512"
IN-LA,"33.9456,77.6569"
IN-LD,"10.3337,72.9205"
IN-MH,"19.567,76.4165"
IN-ML,"25.5379,91.2999"
IN-MN,"24.7209,93.9229"
IN-MP,"23.8143,77.5341"
IN-MZ,"23.2146,92.8688"
IN-NL,"26.1631,94.5885"
IN-OD,"20.5431,84.6897"
IN-PB,"30.9293,75.5005"
IN-PY,"10.9156,79.8069"
IN-RJ,"26.8106,73.7685"
IN-SK,"27.6016,88.455"
IN-TN,"11.3324,78.6099"
IN-TR,"23.7751,91.7025"
IN-TS,"17.8496,79.1152"
IN-UK,"30.0417,79.0897"
IN-UP,"27.1303,80.8597"
IN-WB,"22.9965,87.6856"
IQ-AN,"32.7889,41.6094"
IQ-AR,"36.4688,44.2615"
IQ-BA,"30.2021,47.5274"
IQ-BB,"32.6319,44.5629"
IQ-BG,"33.0113,44.385"
IQ-DA,"37.0423,43.0954"
IQ-DI,"34.0229,45.1046"
IQ-DQ,"31.2858,46.3068"
IQ-KA,"32.4512,43.8197"
IQ-KI,"35.296,44.0312"
IQ-KR,"36.4239,44.3284"
IQ-MA,"32.0183,47.0696"
IQ-MU,"30.5924,45.2916"
IQ-NA,"31.3384,43.8411"
IQ-NI,"36.0368,42.3169"
IQ-QA,"31.96,45.1198"
IQ-SD,"34.3762,43.6447"
IQ-SU,"35.5575,45.4352"
IQ-WA,"32.6945,45.6848"
IR-00,"34.5303,49.7865"
IR-01,"37.1516,49.639"
IR-02,"36.3159,51.8969"
IR-03,"37.916,46.6782"
IR-04,"37.7416,45.0208"
IR-05,"34.4867,46.8087"
IR-06,"31.5563,49.0059"
IR-07,"29.2051,53.4328"
IR-08,"29.5719,57.301"
IR-09,"35.4795,59.0237"
IR-10,"33.1881,52.4982"
IR-11,"28.1292,60.8237"
IR-12,"35.6728,47.0128"
IR-13,"34.9726,48.6564"
IR-14,"32.0163,50.6857"
IR-15,"33.5858,48.2395"
IR-16,"33.1546,46.7576"
IR-17,"30.8143,50.8661"
IR-18,"28.8937,51.3205"
IR-19,"36.5159,48.4778"
IR-20,"35.3843,54.6209"
IR-21,"32.0406,54.6657"
IR-22,"27.7198,56.3358"
IR-23,"35.5121,51.8005"
IR-24,"38.4584,47.9313"
IR-25,"34.7192,51.0123"
IR-26,"36.0156,49.8398"
IR-27,"37.1984,55.0707"
IR-28,"37.5379,56.9526"
IR-29,"33.1296,58.1065"
IR-30,"35.9413,50.7884"
IS-1,"64.1727,-21.5668"
IS-2,"63.9415,-22.2019"
IS-3,"64.9021,-21.7068"
IS-4,"65.9082,-21.8079"
IS-5,"65.4622,-19.8471"
IS-6,"65.4736,-17.4433"
IS-7,"65.1941,-15.0924"
IS-8,"64.1292,-18.7122"
IS-AKN,"64.3171,-22.0834"
IS-AKU,"65.6363,-18.2111"
IS-ARN,"66.0737,-21.9016"
IS-ASA,"64.4656,-18.4083"
IS-BLA,"64.4684,-20.1926"
IS-BOG,"64.7043,-21.2205"
IS-BOL,"66.1576,-23.2507"
IS-DAB,"65.1859,-22.1375"
IS-DAV,"65.8934,-18.5639"
IS-EOM,"64.8585,-22.5968"
IS-EYF,"65.227,-18.1782"
IS-FJD,"64.9876,-14.1722"
IS-FJL,"66.0464,-18.7284"
IS-FLA,"63.8889,-20.8168"
IS-FLR,"64.8105,-15.2611"
IS-GAR,"64.088,-21.9194"
IS-GOG,"64.0832,-20.9495"
IS-GRN,"63.8848,-22.3293"
IS-GRU,"64.925,-23.2593"
IS-GRY,"65.9867,-18.099"
IS-HAF,"64.0695,-21.9576"
IS-HRG,"65.6239,-18.5976"
IS-HRU,"64.4329,-19.7124"
IS-HUG,"65.318,-19.9053"
IS-HUV,"65.2986,-20.7018"
IS-HVA,"64.4087,-21.5821"
IS-HVE,"63.9976,-21.1868"
IS-ISA,"65.9321,-23.4013"
IS-KAL,"65.8277,-21.5483"
IS-KJO,"64.3076,-21.5399"
IS-KOP,"64.1114,-21.9048"
IS-LAN,"66.0913,-15.5996"
IS-MOS,"64.1675,-21.6971"
IS-MUL,"65.0765,-15.6847"
IS-MYR,"63.5162,-19.0406"
IS-NOR,"66.0093,-16.645"
IS-RGE,"63.6538,-19.8426"
IS-RGY,"63.9887,-19.7086"
IS-RHH,"65.5971,-22.3165"
IS-RKN,"63.9833,-22.5561"
IS-RKV,"64.146,-21.9422"
IS-SBT,"65.737,-18.0346"
IS-SDN,"64.0705,-22.6503"
IS-SDV,"65.9036,-22.9956"
IS-SEL,"64.1527,-21.988"
IS-SFA,"63.9013,-21.0667"
IS-SHF,"64.2333,-16.3841"
IS-SKF,"64.0202,-18.1304"
IS-SKG,"64.2582,-15.2038"
IS-SKO,"64.4862,-21.3588"
IS-SKR,"65.4848,-19.201"
IS-SNF,"64.8382,-23.4552"
IS-SOG,"64.3983,-19.3201"
IS-SOL,"63.9823,-21.405"
IS-SSS,"65.864,-20.1554"
IS-STR,"65.7638,-22.2114"
IS-STY,"64.9798,-22.8259"
IS-SVG,"63.9832,-22.3874"
IS-TAL,"64.057,-21.9781"
IS-THG,"65.2828,-16.9837"
IS-TJO,"66.1151,-17.1383"
IS-VEM,"63.4401,-20.2786"
IS-VER,"65.6072,-23.2396"
IS-VOP,"65.7022,-15.0739"
IT-21,"45.0607,7.9235"
IT-23,"45.7301,7.3874"
IT-25,"45.5704,9.7733"
IT-32,"46.4415,11.2821"
IT-34,"45.6477,11.8665"
IT-36,"46.151,13.0559"
IT-42,"44.4778,8.7026"
IT-45,"44.5257,11.0394"
IT-52,"43.4587,11.1389"
IT-55,"42.9659,12.4902"
IT-57,"43.3458,13.1416"
IT-62,"41.9808,12.7662"
IT-65,"42.2277,13.855"
IT-67,"41.6847,14.5956"
IT-72,"40.8607,14.844"
IT-75,"40.9843,16.621"
IT-77,"40.5006,16.082"
IT-78,"39.0566,16.525"
IT-82,"37.5878,14.155"
IT-88,"40.0913,9.0306"
IT-AG,"37.4136,13.5581"
IT-AL,"44.835,8.745"
IT-AN,"43.4801,13.2187"
IT-AP,"42.8834,13.5396"
IT-AQ,"42.1369,13.6103"
IT-AR,"43.5171,11.7639"
IT-AT,"44.826,8.2027"
IT-AV,"40.9965,15.1406"
IT-BA,"40.9612,16.7713"
IT-BG,"45.7567,9.7542"
IT-BI,"45.567,8.0869"
IT-BL,"46.2805,12.0789"
IT-BN,"41.2476,14.7057"
IT-BO,"44.4333,11.3945"
IT-BR,"40.6359,17.6885"
IT-BS,"45.7796,10.4259"
IT-BT,"41.1802,16.1466"
IT-BZ,"46.6559,11.2302"
IT-CA,"39.3638,9.1555"
IT-CB,"41.7173,14.8262"
IT-CE,"41.2035,14.1169"
IT-CH,"42.1027,14.4159"
IT-CL,"37.3736,13.9798"
IT-CN,"44.4581,7.5581"
IT-CO,"45.9395,9.1494"
IT-CR,"45.2209,10.037"
IT-CS,"39.5967,16.3331"
IT-CT,"37.5057,14.9442"
IT-CZ,"38.83,16.4316"
IT-EN,"37.5854,14.4889"
IT-FC,"44.0227,12.0141"
IT-FE,"44.7668,11.8279"
IT-FG,"41.5028,15.4529"
IT-FI,"43.8457,11.3743"
IT-FM,"43.0922,13.6388"
IT-FR,"41.6285,13.5758"
IT-GE,"44.4466,9.058"
IT-GO,"45.8625,13.4979"
IT-GR,"42.7751,11.2878"
IT-IM,"43.9584,7.8667"
IT-IS,"41.6495,14.2081"
IT-KR,"39.1874,16.8783"
IT-LC,"45.9005,9.412"
IT-LE,"40.1522,18.2261"
IT-LI,"42.7902,10.3402"
IT-LO,"45.2613,9.4917"
IT-LT,"41.4595,13.0126"
IT-LU,"44.0178,10.4544"
IT-MB,"45.6395,9.2788"
IT-MC,"43.153,13.1509"
IT-ME,"38.0481,15.0038"
IT-MI,"45.4542,9.1114"
IT-MN,"45.1693,10.6708"
IT-MO,"44.5385,10.936"
IT-MS,"44.2131,10.0526"
IT-MT,"40.4476,16.4736"
IT-NA,"40.7944,14.4635"
IT-NO,"45.5842,8.546"
IT-NU,"40.2641,9.1272"
IT-OR,"40.0266,8.6796"
IT-PA,"37.8819,13.6095"
IT-PC,"44.8476,9.6665"
IT-PD,"45.3914,11.8058"
IT-PE,"42.3103,13.9576"
IT-PG,"43.107,12.403"
IT-PI,"43.4715,10.6798"
IT-PN,"46.1017,12.7039"
IT-PO,"43.9357,11.0941"
IT-PR,"44.6952,10.098"
IT-PT,"43.9741,10.8687"
IT-PU,"43.6941,12.7014"
IT-PV,"45.0369,9.1378"
IT-PZ,"40.5173,15.8216"
IT-RA,"44.3641,12.059"
IT-RC,"38.2448,15.9775"
IT-RE,"44.6087,10.5941"
IT-RG,"36.9156,14.6451"
IT-RI,"42.4147,12.8859"
IT-RM,"41.852,12.6312"
IT-RN,"43.9465,12.6307"
IT-RO,"44.9777,12.2727"
IT-SA,"40.4194,15.3106"
IT-SI,"43.1672,11.4676"
IT-SO,"46.3234,10.2584"
IT-SP,"44.2384,9.6912"
IT-SR,"37.0298,15.0868"
IT-SS,"40.6346,8.6799"
IT-SU,"45.9678,8.856"
IT-SV,"44.2334,8.2526"
IT-TA,"40.5488,17.0806"
IT-TE,"42.6581,13.6979"
IT-TN,"46.103,11.1297"
IT-TO,"45.158,7.5124"
IT-TP,"37.8745,12.718"
IT-TR,"42.6539,12.4397"
IT-TS,"45.6946,13.7838"
IT-TV,"45.8067,12.2063"
IT-UD,"46.1459,13.2974"
IT-VA,"45.8397,8.7541"
IT-VB,"46.1156,8.3836"
IT-VC,"45.5554,8.3463"
IT-VE,"45.4551,12.2506"
IT-VI,"45.6349,11.4064"
IT-VR,"45.4425,10.9857"
IT-VT,"42.493,11.9488"
IT-VV,"38.6267,16.0987"
JM-01,"17.9693,-76.7652"
JM-02,"18.059,-76.7608"
JM-03,"17.9716,-76.4414"
JM-04,"18.1268,-76.5374"
JM-05,"18.2789,-76.9022"
JM-06,"18.3299,-77.2542"
JM-07,"18.3682,-77.6044"
JM-08,"18.3658,-77.8522"
JM-09,"18.3851,-78.131"
JM-10,"18.2104,-77.9793"
JM-11,"18.0538,-77.7828"
JM-12,"18.0499,-77.511"
JM-13,"17.9519,-77.2719"
JM-14,"18.0472,-77.0334"
