country_code,subdivision_code,name,localName,sameName
CN,CN-JS,,,1
CN,CN-JX,,,1
CN,CN-LN,,,1
CN,CN-MO,,,1
CN,CN-NM,,,1
CN,CN-NX,,,1
CN,CN-QH,,,1
CN,CN-SC,,,1
CN,CN-SD,,,1
CN,CN-SH,,,1
CN,CN-SN,,,1
CN,CN-SX,,,1
CN,CN-TJ,,,1
CN,CN-TW,,,1
CN,CN-XJ,,,1
CN,CN-XZ,,,1
CN,CN-YN,,,1
CN,CN-ZJ,,,1
CO,CO-AMA,,,1
CO,CO-ANT,,,1
CO,CO-ARA,,,1
CO,CO-ATL,,,1
CO,CO-BOL,,,1
CO,CO-BOY,,,1
CO,CO-CAL,,,1
CO,CO-CAQ,,,1
CO,CO-CAS,,,1
CO,CO-CAU,,,1
CO,CO-CES,,,1
CO,CO-CHO,,,1
CO,CO-COR,,,1
CO,CO-CUN,,,1
CO,CO-DC,,,1
CO,CO-GUA,,,1
CO,CO-GUV,,,1
CO,CO-HUI,,,1
CO,CO-LAG,,,1
CO,CO-MAG,,,1
CO,CO-MET,,,1
CO,CO-NAR,,,1
CO,CO-NSA,,,1
CO,CO-PUT,,,1
CO,CO-QUI,,,1
CO,CO-RIS,,,1
CO,CO-SAN,,,1
CO,CO-SAP,,,1
CO,CO-SUC,,,1
CO,CO-TOL,,,1
CO,CO-VAC,,,1
CO,CO-VAU,,,1
CO,CO-VID,,,1
CR,CR-A,,,1
CR,CR-C,,,1
CR,CR-G,,,1
CR,CR-H,,,1
CR,CR-L,,,1
CR,CR-P,,,1
CR,CR-SJ,,,1
CU,CU-01,,,1
CU,CU-03,,,1
CU,CU-04,,,1
CU,CU-05,,,1
CU,CU-06,,,1
CU,CU-07,,,1
CU,CU-08,,,1
CU,CU-09,,,1
CU,CU-10,,,1
CU,CU-11,,,1
CU,CU-12,,,1
CU,CU-13,,,1
CU,CU-14,,,1
CU,CU-15,,,1
CU,CU-16,,,1
CU,CU-99,,,1
CV,CV-B,,,1
CV,CV-BR,,,1
CV,CV-BV,,,1
CV,CV-CA,,,1
CV,CV-CF,,,1
CV,CV-CR,,,1
CV,CV-MA,,,1
CV,CV-MO,,,1
CV,CV-PA,,,1
CV,CV-PN,,,1
CV,CV-PR,,,1
CV,CV-RB,,,1
CV,CV-RG,,,1
CV,CV-RS,,,1
CV,CV-S,,,1
CV,CV-SD,,,1
CV,CV-SF,,,1
CV,CV-SL,,,1
CV,CV-SM,,,1
CV,CV-SO,,,1
CV,CV-SS,,,1
CV,CV-SV,,,1
CV,CV-TA,,,1
CV,CV-TS,,,1
CY,CY-01,,,1
CY,CY-02,,,1
CY,CY-03,,,1
CY,CY-04,,,1
CY,CY-05,,,1
CY,CY-06,,,1
CZ,CZ-10,,,1
CZ,CZ-20,,,1
CZ,CZ-201,,,1
CZ,CZ-202,,,1
CZ,CZ-203,,,1
CZ,CZ-204,,,1
CZ,CZ-205,,,1
CZ,CZ-206,,,1
CZ,CZ-207,,,1
CZ,CZ-208,,,1
CZ,CZ-209,,,1
CZ,CZ-20A,,,1
CZ,CZ-20B,,,1
CZ,CZ-20C,,,1
CZ,CZ-31,,,1
CZ,CZ-311,,,1
CZ,CZ-312,,,1
CZ,CZ-313,,,1
CZ,CZ-314,,,1
CZ,CZ-315,,,1
CZ,CZ-316,,,1
CZ,CZ-317,,,1
CZ,CZ-32,,,1
CZ,CZ-321,,,1
CZ,CZ-322,,,1
CZ,CZ-323,,,1
CZ,CZ-324,,,1
CZ,CZ-325,,,1
CZ,CZ-326,,,1
CZ,CZ-327,,,1
CZ,CZ-41,,,1
CZ,CZ-411,,,1
CZ,CZ-412,,,1
CZ,CZ-413,,,1
CZ,CZ-42,,,1
CZ,CZ-421,,,1
CZ,CZ-422,,,1
CZ,CZ-423,,,1
CZ,CZ-424,,,1
CZ,CZ-425,,,1
CZ,CZ-426,,,1
CZ,CZ-427,,,1
CZ,CZ-51,,,1
CZ,CZ-511,,,1
CZ,CZ-512,,,1
CZ,CZ-513,,,1
CZ,CZ-514,,,1
CZ,CZ-52,,,1
CZ,CZ-521,,,1
CZ,CZ-522,,,1
CZ,CZ-523,,,1
CZ,CZ-524,,,1
CZ,CZ-525,,,1
CZ,CZ-53,,,1
CZ,CZ-531,,,1
CZ,CZ-532,,,1
CZ,CZ-533,,,1
CZ,CZ-534,,,1
CZ,CZ-63,,,1
CZ,CZ-631,,,1
CZ,CZ-632,,,1
CZ,CZ-633,,,1
CZ,CZ-634,,,1
CZ,CZ-635,,,1
CZ,CZ-64,,,1
CZ,CZ-641,,,1
CZ,CZ-642,,,1
CZ,CZ-643,,,1
CZ,CZ-644,,,1
CZ,CZ-645,,,1
CZ,CZ-646,,,1
CZ,CZ-647,,,1
CZ,CZ-71,,,1
CZ,CZ-711,,,1
CZ,CZ-712,,,1
CZ,CZ-713,,,1
CZ,CZ-714,,,1
CZ,CZ-715,,,1
CZ,CZ-72,,,1
CZ,CZ-721,,,1
CZ,CZ-722,,,1
CZ,CZ-723,,,1
CZ,CZ-724,,,1
CZ,CZ-80,,,1
CZ,CZ-801,,,1
CZ,CZ-802,,,1
CZ,CZ-803,,,1
CZ,CZ-804,,,1
CZ,CZ-805,,,1
CZ,CZ-806,,,1
DE,DE-BB,,,1
DE,DE-BE,,,1
DE,DE-BW,,,1
DE,DE-BY,,,1
DE,DE-HB,,,1
DE,DE-HE,,,1
DE,DE-HH,,,1
DE,DE-MV,,,1
DE,DE-NI,,,1
DE,DE-NW,,,1
DE,DE-RP,,,1
DE,DE-SH,,,1
DE,DE-SL,,,1
DE,DE-SN,,,1
DE,DE-ST,,,1
DE,DE-TH,,,1
DJ,DJ-AR,,,1
DJ,DJ-AS,,,1
DJ,DJ-DI,,,1
DJ,DJ-DJ,,,1
DJ,DJ-OB,,,1
DJ,DJ-TA,,,1
DK,DK-81,,,1
DK,DK-82,,,1
DK,DK-83,,,1
DK,DK-84,,,1
DK,DK-85,,,1
DM,DM-02,,,1
DM,DM-03,,,1
DM,DM-04,,,1
DM,DM-05,,,1
DM,DM-06,,,1
DM,DM-07,,,1
DM,DM-08,,,1
DM,DM-09,,,1
DM,DM-10,,,1
DM,DM-11,,,1
DO,DO-01,,,1
DO,DO-02,,,1
DO,DO-03,,,1
DO,DO-04,,,1
DO,DO-05,,,1
DO,DO-06,,,1
DO,DO-07,,,1
DO,DO-08,,,1
DO,DO-09,,,1
DO,DO-10,,,1
DO,DO-11,,,1
DO,DO-12,,,1
DO,DO-13,,,1
DO,DO-14,,,1
DO,DO-15,,,1
DO,DO-16,,,1
DO,DO-17,,,1
DO,DO-18,,,1
DO,DO-19,,,1
DO,DO-20,,,1
DO,DO-21,,,1
DO,DO-22,,,1
DO,DO-23,,,1
DO,DO-24,,,1
DO,DO-25,,,1
DO,DO-26,,,1
DO,DO-27,,,1
DO,DO-28,,,1
DO,DO-29,,,1
DO,DO-30,,,1
DO,DO-31,,,1
DO,DO-32,,,1
DO,DO-33,,,1
DO,DO-34,,,1
DO,DO-35,,,1
DO,DO-36,,,1
DO,DO-37,,,1
DO,DO-38,,,1
DO,DO-39,,,1
DO,DO-40,,,1
DO,DO-41,,,1
DO,DO-42,,,1
DZ,DZ-01,,,1
DZ,DZ-02,,,1
DZ,DZ-03,,,1
DZ,DZ-04,,,1
DZ,DZ-05,,,1
DZ,DZ-06,,,1
DZ,DZ-07,,,1
DZ,DZ-08,,,1
DZ,DZ-09,,,1
DZ,DZ-10,,,1
DZ,DZ-11,,,1
DZ,DZ-12,,,1
DZ,DZ-13,,,1
DZ,DZ-14,,,1
DZ,DZ-15,,,1
DZ,DZ-16,,,1
DZ,DZ-17,,,1
DZ,DZ-18,,,1
DZ,DZ-19,,,1
DZ,DZ-20,,,1
DZ,DZ-21,,,1
DZ,DZ-22,,,1
DZ,DZ-23,,,1
DZ,DZ-24,,,1
DZ,DZ-25,,,1
DZ,DZ-26,,,1
DZ,DZ-27,,,1
DZ,DZ-28,,,1
DZ,DZ-29,,,1
DZ,DZ-30,,,1
DZ,DZ-31,,,1
DZ,DZ-32,,,1
DZ,DZ-33,,,1
DZ,DZ-34,,,1
DZ,DZ-35,,,1
DZ,DZ-36,,,1
DZ,DZ-37,,,1
DZ,DZ-38,,,1
DZ,DZ-39,,,1
DZ,DZ-40,,,1
DZ,DZ-41,,,1
DZ,DZ-42,,,1
DZ,DZ-43,,,1
DZ,DZ-44,,,1
DZ,DZ-45,,,1
DZ,DZ-46,,,1
DZ,DZ-47,,,1
DZ,DZ-48,,,1
DZ,DZ-49,,,1
DZ,DZ-50,,,1
DZ,DZ-51,,,1
DZ,DZ-52,,,1
DZ,DZ-53,,,1
DZ,DZ-54,,,1
DZ,DZ-55,,,1
DZ,DZ-56,,,1
DZ,DZ-57,,,1
DZ,DZ-58,,,1
EC,EC-A,,,1
EC,EC-B,,,1
EC,EC-C,,,1
EC,EC-D,,,1
EC,EC-E,,,1
EC,EC-F,,,1
EC,EC-G,,,1
EC,EC-H,,,1
EC,EC-I,,,1
EC,EC-L,,,1
